sku_code,design_no,stock,category,size,color,sku,style,asin
BL014-62CHIKU,BL014,73.0,BLOUSE,FREE,Beige,,,
BL015-63PINK,BL015,14.0,BLOUSE,FREE,Pink,,,
BL016-63RED,BL016,24.0,BLOUSE,FREE,Red,,,
BL018-63BEIGE,BL018,39.0,BLOUSE,FREE,Beige,,,
BL019-71PINK,BL019,76.0,BLOUSE,FREE,Pink,,,
BL020-71RED,BL020,38.0,BLOUSE,FREE,Red,,,
BL022-71BEIGE,BL022,106.0,BLOUSE,FREE,Beige,,,
BL023-74PINK,BL023,50.0,BLOUSE,FREE,Pink,,,
BL024-74RED,BL024,103.0,BLOUSE,FREE,Red,,,
BL025-74BLACK,BL025,199.0,BLOUSE,FREE,Black,,,
BL026-74BEIGE,BL026,98.0,BLOUSE,FREE,Beige,,,
BL029-78BLACK,BL029,201.0,BLOUSE,FREE,Black,,,
BL030-78BEIGE,BL030,10.0,BLOUSE,FREE,Beige,,,
BL031-79PINK,BL031,8.0,BLOUSE,FREE,Pink,,,
BL034-150GOLD,BL034,31.0,BLOUSE,FREE,Gold,,,
BL036-176GOLD,BL036,45.0,BLOUSE,FREE,Gold,,,
BL040-65PINK,BL040,31.0,BLOUSE,FREE,Pink,,,
BL041-65RED,BL041,30.0,BLOUSE,FREE,Red,,,
BL046-82RED,BL046,23.0,BLOUSE,FREE,Red,,,
BL050-83RED,BL050,63.0,BLOUSE,FREE,Red,,,
BL051-83BLACK,BL051,42.0,BLOUSE,FREE,Black,,,
BL053-153GOLD,BL053,20.0,BLOUSE,FREE,Gold,,,
BL055-164GOLD,BL055,68.0,BLOUSE,FREE,Gold,,,
BL056-185GOLD,BL056,23.0,BLOUSE,FREE,Gold,,,
BL057-65BLACK,BL057,114.0,BLOUSE,FREE,Black,,,
BL058-65BEIGE,BL058,20.0,BLOUSE,FREE,Beige,,,
BL060-75RED,BL060,49.0,BLOUSE,FREE,Red,,,
BL073-85BLACK,BL073,48.0,BLOUSE,FREE,Black,,,
BL074-85RED,BL074,17.0,BLOUSE,FREE,Red,,,
BL075-85CHIKU,BL075,7.0,BLOUSE,FREE,Chiku,,,
BL076-86BLACK,BL076,21.0,BLOUSE,FREE,Black,,,
BL077-86RED,BL077,8.0,BLOUSE,FREE,Red,,,
BL078-87BLACK,BL078,18.0,BLOUSE,FREE,Black,,,
BL079-87RED,BL079,12.0,BLOUSE,FREE,Red,,,
BL080-88BLACK,BL080,12.0,BLOUSE,FREE,Black,,,
BL081-88PINK,BL081,30.0,BLOUSE,FREE,Pink,,,
BL082-88CHIKU,BL082,9.0,BLOUSE,FREE,Beige,,,
BL083-186GOLD,BL083,16.0,BLOUSE,FREE,Gold,,,
BL084-187GOLD,BL084,11.0,BLOUSE,FREE,Gold,,,
