ship_postal_code,orders_count,customer_segment
461771.0,3,Frequent
411012.0,12,Loyal
393010.0,3,Frequent
845451.0,1,One-time
626189.0,2,Frequent
822102.0,5,Frequent
686689.0,2,Frequent
232108.0,1,One-time
443404.0,1,One-time
759147.0,6,Loyal
631204.0,4,Frequent
600070.0,15,Loyal
689111.0,2,Frequent
721424.0,1,One-time
454365.0,5,Frequent
500042.0,15,Loyal
274203.0,6,Loyal
638154.0,1,One-time
444806.0,1,One-time
283105.0,2,Frequent
785640.0,24,Loyal
600131.0,2,Frequent
143516.0,8,Loyal
131101.0,4,Frequent
474010.0,1,One-time
678009.0,2,Frequent
500069.0,2,Frequent
136027.0,18,Loyal
400615.0,181,Loyal
761037.0,2,Frequent
515801.0,15,Loyal
560011.0,33,Loyal
335711.0,2,Frequent
387350.0,1,One-time
402110.0,2,Frequent
121010.0,58,Loyal
440037.0,7,Loyal
632204.0,1,One-time
416101.0,3,Frequent
670104.0,3,Frequent
583119.0,1,One-time
641001.0,17,Loyal
679326.0,1,One-time
401101.0,57,Loyal
246127.0,1,One-time
305801.0,13,Loyal
673012.0,11,Loyal
759116.0,4,Frequent
575005.0,17,Loyal
533235.0,1,One-time
523168.0,1,One-time
533214.0,1,One-time
209863.0,2,Frequent
689643.0,1,One-time
695584.0,15,Loyal
494441.0,1,One-time
577201.0,55,Loyal
641602.0,11,Loyal
845418.0,1,One-time
400604.0,63,Loyal
146105.0,1,One-time
491228.0,6,Loyal
400090.0,6,Loyal
182121.0,6,Loyal
302021.0,80,Loyal
841226.0,23,Loyal
676508.0,3,Frequent
125050.0,13,Loyal
577511.0,1,One-time
509002.0,1,One-time
203393.0,1,One-time
682303.0,7,Loyal
632008.0,2,Frequent
394650.0,11,Loyal
574153.0,1,One-time
534316.0,2,Frequent
515231.0,7,Loyal
462042.0,48,Loyal
671552.0,1,One-time
370140.0,4,Frequent
783369.0,3,Frequent
506349.0,3,Frequent
180010.0,15,Loyal
785616.0,1,One-time
614201.0,1,One-time
581202.0,2,Frequent
486661.0,8,Loyal
784176.0,6,Loyal
181132.0,11,Loyal
201318.0,8,Loyal
577527.0,6,Loyal
523101.0,3,Frequent
305601.0,3,Frequent
737132.0,9,Loyal
442402.0,6,Loyal
733133.0,1,One-time
110071.0,11,Loyal
680703.0,4,Frequent
524407.0,3,Frequent
533223.0,4,Frequent
847212.0,4,Frequent
483225.0,1,One-time
495224.0,4,Frequent
341001.0,14,Loyal
484224.0,3,Frequent
144102.0,7,Loyal
485881.0,1,One-time
110006.0,37,Loyal
533407.0,1,One-time
450331.0,11,Loyal
754006.0,5,Frequent
221109.0,6,Loyal
144626.0,3,Frequent
679337.0,3,Frequent
533003.0,51,Loyal
680656.0,7,Loyal
383001.0,19,Loyal
673010.0,8,Loyal
410205.0,2,Frequent
524228.0,1,One-time
781016.0,13,Loyal
680555.0,5,Frequent
791111.0,42,Loyal
246475.0,2,Frequent
205121.0,2,Frequent
515415.0,1,One-time
811303.0,4,Frequent
175124.0,5,Frequent
852218.0,1,One-time
382460.0,2,Frequent
522101.0,8,Loyal
534111.0,1,One-time
131305.0,2,Frequent
713305.0,15,Loyal
403726.0,23,Loyal
625205.0,1,One-time
591120.0,1,One-time
734105.0,1,One-time
302016.0,34,Loyal
382870.0,2,Frequent
224120.0,1,One-time
609807.0,2,Frequent
503111.0,26,Loyal
600001.0,47,Loyal
713401.0,1,One-time
532201.0,6,Loyal
626130.0,4,Frequent
505467.0,4,Frequent
624202.0,4,Frequent
534448.0,1,One-time
752100.0,3,Frequent
443202.0,2,Frequent
621208.0,1,One-time
622003.0,3,Frequent
695317.0,1,One-time
202002.0,26,Loyal
577124.0,1,One-time
560089.0,11,Loyal
273152.0,1,One-time
700110.0,14,Loyal
572138.0,1,One-time
143002.0,3,Frequent
680104.0,11,Loyal
173025.0,20,Loyal
788025.0,1,One-time
494553.0,5,Frequent
695587.0,11,Loyal
562135.0,3,Frequent
403004.0,11,Loyal
524101.0,19,Loyal
764063.0,1,One-time
425306.0,2,Frequent
814112.0,21,Loyal
673121.0,10,Loyal
577129.0,2,Frequent
444704.0,1,One-time
457226.0,3,Frequent
614804.0,2,Frequent
249402.0,5,Frequent
394716.0,2,Frequent
813210.0,4,Frequent
160016.0,3,Frequent
245408.0,1,One-time
209101.0,3,Frequent
680697.0,4,Frequent
626109.0,1,One-time
524137.0,9,Loyal
391320.0,5,Frequent
175106.0,5,Frequent
570010.0,8,Loyal
721605.0,1,One-time
534340.0,1,One-time
686541.0,7,Loyal
673645.0,1,One-time
533002.0,18,Loyal
848101.0,15,Loyal
680020.0,6,Loyal
141419.0,1,One-time
272208.0,2,Frequent
505415.0,1,One-time
828306.0,3,Frequent
576121.0,2,Frequent
518006.0,7,Loyal
608002.0,7,Loyal
852125.0,1,One-time
500101.0,1,One-time
680306.0,11,Loyal
388320.0,3,Frequent
413701.0,4,Frequent
627808.0,2,Frequent
524405.0,1,One-time
132114.0,2,Frequent
501501.0,3,Frequent
465661.0,6,Loyal
415109.0,1,One-time
491111.0,3,Frequent
582118.0,3,Frequent
582114.0,5,Frequent
673314.0,4,Frequent
751010.0,34,Loyal
221602.0,1,One-time
390024.0,19,Loyal
847224.0,1,One-time
584116.0,1,One-time
683563.0,4,Frequent
470675.0,1,One-time
691305.0,6,Loyal
690523.0,1,One-time
394641.0,1,One-time
507111.0,11,Loyal
682021.0,71,Loyal
577145.0,1,One-time
621111.0,1,One-time
524002.0,49,Loyal
713212.0,25,Loyal
504215.0,1,One-time
577552.0,3,Frequent
984196.0,1,One-time
464240.0,1,One-time
411037.0,87,Loyal
679122.0,4,Frequent
571607.0,2,Frequent
763004.0,1,One-time
636302.0,3,Frequent
741201.0,5,Frequent
262124.0,1,One-time
144001.0,67,Loyal
813211.0,1,One-time
743503.0,1,One-time
680620.0,5,Frequent
686514.0,1,One-time
249145.0,4,Frequent
560024.0,117,Loyal
441501.0,8,Loyal
274406.0,2,Frequent
520003.0,25,Loyal
