item1,item2,item1_name,item2_name,pair_count
JNE3405-KR-L,JNE3423-KR-L,Designer Kurta,Stylish Kurta,2
JNE3405-KR-S,JNE3567-KR-M,Stylish Kurta,Designer Kurta,2
JNE3405-KR-S,JNE3567-KR-S,Stylish Kurta,Stylish Kurta,2
JNE3405-KR-XS,JNE3440-KR-N-XS,Stylish Kurta,Casual Kurta,2
JNE3405-KR-XXL,JNE3567-KR-XXL,Stylish Kurta,Casual Kurta,2
JNE3405-KR-XXXL,JNE3294-KR-XXL,Stylish Kurta,Designer Kurta,2
JNE3405-KR-XXXL,JNE3440-KR-N-XXXL,Stylish Kurta,Designer Kurta,2
JNE3407-KR-L,JNE3479-KR-L,Stylish Kurta,Stylish Kurta,2
JNE3412-KR-XS,SET130-KR-NP-XS,Designer Kurta,Formal Set,2
JNE3413-KR-XXXL,JNE3788-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3421-KR-N-XXL,JNE3439-KR-XXL,Cotton Kurta,Stylish Kurta,2
JNE3423-KR-L,JNE3405-KR-L,Stylish Kurta,Designer Kurta,2
JNE3423-KR-M,JNE3567-KR-M,Stylish Kurta,Designer Kurta,2
JNE3423-KR-S,JNE3440-KR-N-S,Designer Kurta,Cotton Kurta,2
JNE3423-KR-XL,JNE3439-KR-XL,Stylish Kurta,Designer Kurta,2
JNE3425-KR-XXXL,JNE3376-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3425-KR-XXXL,JNE3431-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3425-KR-XXXL,JNE3463-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3425-KR-XXXL,JNE3468-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3425-KR-XXXL,JNE3634-KR-XXXL,Cotton Kurta,Cotton Kurta,2
JNE3425-KR-XXXL,JNE3878-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3431-KR-M,JNE3761-KR-M,Stylish Kurta,Designer Kurta,2
JNE3431-KR-XS,JNE2266-KR-490-A-XS,Casual Kurta,Stylish Kurta,2
JNE3431-KR-XXL,JNE3475-KR-K-XXL,Stylish Kurta,Stylish Kurta,2
JNE3431-KR-XXL,JNE3761-KR-XXL,Stylish Kurta,Designer Kurta,2
JNE3431-KR-XXXL,JNE3376-KR-XXXL,Casual Kurta,Casual Kurta,2
JNE3431-KR-XXXL,JNE3425-KR-XXXL,Casual Kurta,Cotton Kurta,2
JNE3431-KR-XXXL,JNE3463-KR-XXXL,Casual Kurta,Designer Kurta,2
JNE3431-KR-XXXL,JNE3468-KR-XXXL,Casual Kurta,Designer Kurta,2
JNE3431-KR-XXXL,JNE3634-KR-XXXL,Casual Kurta,Cotton Kurta,2
JNE3431-KR-XXXL,JNE3878-KR-XXXL,Casual Kurta,Designer Kurta,2
JNE3435-KR-S,SET268-KR-NP-XXL,Designer Kurta,Designer Set,2
JNE3437-KR-L,JNE3437-KR-XS,Cotton Kurta,Casual Kurta,2
JNE3437-KR-M,JNE3465-KR-M,Cotton Kurta,Stylish Kurta,2
JNE3437-KR-S,JNE3613-KR-S,Casual Kurta,Casual Kurta,2
JNE3437-KR-XS,JNE3437-KR-L,Casual Kurta,Cotton Kurta,2
JNE3439-KR-M,JNE3440-KR-N-M,Stylish Kurta,Casual Kurta,2
JNE3439-KR-XL,JNE3423-KR-XL,Designer Kurta,Stylish Kurta,2
JNE3439-KR-XL,JNE3546-KR-XL,Designer Kurta,Casual Kurta,2
JNE3439-KR-XXL,JNE3421-KR-N-XXL,Stylish Kurta,Cotton Kurta,2
JNE3440-KR-N-M,JNE3439-KR-M,Casual Kurta,Stylish Kurta,2
JNE3440-KR-N-S,JNE3423-KR-S,Cotton Kurta,Designer Kurta,2
JNE3440-KR-N-S,JNE3440-KR-N-XS,Cotton Kurta,Casual Kurta,2
JNE3440-KR-N-XL,JNE3443-KR-XL,Designer Kurta,Designer Kurta,2
JNE3440-KR-N-XL,JNE3568-KR-XL,Designer Kurta,Designer Kurta,2
JNE3440-KR-N-XL,SET281-KR-PP-XL,Designer Kurta,Designer Set,2
JNE3440-KR-N-XS,JNE3405-KR-XS,Casual Kurta,Stylish Kurta,2
JNE3440-KR-N-XS,JNE3440-KR-N-S,Casual Kurta,Cotton Kurta,2
JNE3440-KR-N-XS,JNE3567-KR-XS,Casual Kurta,Casual Kurta,2
JNE3440-KR-N-XS,SET263-KR-NP-XS,Casual Kurta,Casual Set,2
JNE3440-KR-N-XS,SET286-KR-NP-XS,Casual Kurta,Casual Set,2
JNE3440-KR-N-XXXL,JNE3405-KR-XXXL,Designer Kurta,Stylish Kurta,2
JNE3440-KR-N-XXXL,JNE3786-KR-XXXL,Designer Kurta,Casual Kurta,2
JNE3443-KR-XL,JNE3440-KR-N-XL,Designer Kurta,Designer Kurta,2
JNE3443-KR-XL,JNE3697-KR-XL,Designer Kurta,Casual Kurta,2
JNE3443-KR-XL,SET281-KR-PP-XL,Designer Kurta,Designer Set,2
JNE3449-KR-S,JNE3703-KR-S,Designer Kurta,Casual Kurta,2
JNE3449-KR-XL,JNE3384-KR-XL,Cotton Kurta,Cotton Kurta,2
JNE3461-KR-L,JNE3399-KR-L,Designer Kurta,Cotton Kurta,2
JNE3461-KR-L,JNE3510-KR-L,Designer Kurta,Stylish Kurta,2
JNE3461-KR-XXXL,JNE3611-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3461-KR-XXXL,JNE3611-KR-XXXL,Cotton Kurta,Stylish Kurta,2
JNE3463-KR-L,J0008-SKD-L,Stylish Kurta,Formal Set,2
JNE3463-KR-XXXL,JNE3376-KR-XXXL,Designer Kurta,Casual Kurta,2
JNE3463-KR-XXXL,JNE3425-KR-XXXL,Designer Kurta,Cotton Kurta,2
JNE3463-KR-XXXL,JNE3431-KR-XXXL,Designer Kurta,Casual Kurta,2
JNE3463-KR-XXXL,JNE3468-KR-XXXL,Designer Kurta,Designer Kurta,2
JNE3463-KR-XXXL,JNE3634-KR-XXXL,Designer Kurta,Cotton Kurta,2
JNE3463-KR-XXXL,JNE3878-KR-XXXL,Designer Kurta,Designer Kurta,2
JNE3465-KR-L,JNE3348-KR-L,Cotton Kurta,Cotton Kurta,2
JNE3465-KR-M,JNE3437-KR-M,Stylish Kurta,Cotton Kurta,2
JNE3465-KR-M,SET184-KR-PP-M,Stylish Kurta,Formal Set,2
JNE3465-KR-XXL,JNE3613-KR-XXL,Stylish Kurta,Cotton Kurta,2
JNE3465-KR-XXXL,JNE3373-KR-XXXL,Casual Kurta,Designer Kurta,2
JNE3465-KR-XXXL,JNE3487-KR-XXXL,Casual Kurta,Designer Kurta,2
JNE3468-KR-L,JNE3702-KR-L,Designer Kurta,Casual Kurta,2
JNE3468-KR-L,JNE3716-KR-L,Designer Kurta,Designer Kurta,2
JNE3468-KR-L,JNE3721-KR-L,Designer Kurta,Casual Kurta,2
JNE3468-KR-M,JNE3620-KR-M,Cotton Kurta,Stylish Kurta,2
JNE3468-KR-XL,JNE3510-KR-XL,Stylish Kurta,Cotton Kurta,2
JNE3468-KR-XL,JNE3620-KR-XXL,Stylish Kurta,Designer Kurta,2
JNE3468-KR-XXL,JNE3515-KR-XXL,Designer Kurta,Cotton Kurta,2
JNE3468-KR-XXL,JNE3613-KR-XXL,Designer Kurta,Cotton Kurta,2
JNE3468-KR-XXL,SET197-KR-NP-XXL,Designer Kurta,Elegant Set,2
JNE3468-KR-XXXL,JNE3376-KR-XXXL,Designer Kurta,Casual Kurta,2
JNE3468-KR-XXXL,JNE3425-KR-XXXL,Designer Kurta,Cotton Kurta,2
JNE3468-KR-XXXL,JNE3431-KR-XXXL,Designer Kurta,Casual Kurta,2
JNE3468-KR-XXXL,JNE3463-KR-XXXL,Designer Kurta,Designer Kurta,2
JNE3468-KR-XXXL,JNE3878-KR-XXXL,Designer Kurta,Designer Kurta,2
JNE3468-KR-XXXL,SET331-KR-NP-XXXL,Designer Kurta,Elegant Set,2
JNE3471-KR-L,JNE3270-KR-L,Casual Kurta,Casual Kurta,2
JNE3473-KR-XS,JNE3793-KR-XS,Casual Kurta,Stylish Kurta,2
JNE3475-KR-K-XXL,JNE3431-KR-XXL,Stylish Kurta,Stylish Kurta,2
JNE3476-KR-XL,JNE3518-KR-XL,Cotton Kurta,Designer Kurta,2
JNE3479-KR-L,JNE3407-KR-L,Stylish Kurta,Stylish Kurta,2
JNE3479-KR-XS,J0033-KR-XS,Stylish Kurta,Casual Kurta,2
JNE3479-KR-XS,J0133-KR-XS,Stylish Kurta,Designer Kurta,2
JNE3480-KR-XXL,JNE3616-KR-XXXL,Cotton Kurta,Stylish Kurta,2
JNE3482-KR-L,JNE3487-KR-L,Designer Kurta,Cotton Kurta,2
JNE3482-KR-XXL,JNE3619-KR-XXL,Designer Kurta,Stylish Kurta,2
JNE3482-KR-XXL,JNE3721-KR-XL,Designer Kurta,Designer Kurta,2
JNE3487-KR-L,JNE2291-KR-602-L,Cotton Kurta,Cotton Kurta,2
JNE3487-KR-L,JNE3482-KR-L,Cotton Kurta,Designer Kurta,2
JNE3487-KR-M,JNE1525-KR-UDF19BLACK-M,Casual Kurta,Casual Kurta,2
JNE3487-KR-M,JNE3261-KR-M,Casual Kurta,Cotton Kurta,2
JNE3487-KR-M,JNE3742-KR-M,Casual Kurta,Stylish Kurta,2
JNE3487-KR-XL,JNE3601-KR-XL,Casual Kurta,Casual Kurta,2
JNE3487-KR-XXL,JNE3369-KR-XXL,Stylish Kurta,Casual Kurta,2
JNE3487-KR-XXL,JNE3790-KR-XXL,Stylish Kurta,Casual Kurta,2
JNE3487-KR-XXL,JNE3798-KR-XXL,Stylish Kurta,Evening Dress,2
JNE3487-KR-XXXL,JNE3465-KR-XXXL,Designer Kurta,Casual Kurta,2
JNE3501-KR-M,JNE3579-KR-M,Cotton Kurta,Stylish Kurta,2
JNE3504-KR-XL,SET331-KR-NP-XL,Stylish Kurta,Formal Set,2
JNE3506-KR-M,JNE3518-KR-S,Cotton Kurta,Cotton Kurta,2
JNE3506-KR-XL,JNE3638-KR-XL,Cotton Kurta,Designer Kurta,2
JNE3510-KR-L,JNE3399-KR-L,Stylish Kurta,Cotton Kurta,2
JNE3510-KR-L,JNE3461-KR-L,Stylish Kurta,Designer Kurta,2
JNE3510-KR-M,JNE3620-KR-M,Designer Kurta,Stylish Kurta,2
JNE3510-KR-M,JNE3636-KR-M,Designer Kurta,Stylish Kurta,2
JNE3510-KR-M,JNE3718-KR-M,Designer Kurta,Casual Kurta,2
JNE3510-KR-XL,JNE3399-KR-XL,Cotton Kurta,Designer Kurta,2
JNE3510-KR-XL,JNE3468-KR-XL,Cotton Kurta,Stylish Kurta,2
JNE3510-KR-XXL,SET345-KR-NP-XXL,Casual Kurta,Elegant Set,2
JNE3515-KR-XXL,JNE3468-KR-XXL,Cotton Kurta,Designer Kurta,2
JNE3515-KR-XXL,JNE3613-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3518-KR-L,JNE3611-KR-L,Designer Kurta,Cotton Kurta,2
JNE3518-KR-M,J0008-SKD-M,Casual Kurta,Casual Set,2
JNE3518-KR-M,J0111-TP-XS,Casual Kurta,Summer Top,2
JNE3518-KR-M,JNE3518-KR-XL,Casual Kurta,Designer Kurta,2
JNE3518-KR-M,JNE3518-KR-XXL,Casual Kurta,Designer Kurta,2
JNE3518-KR-M,JNE3741-KR-M,Casual Kurta,Stylish Kurta,2
JNE3518-KR-M,SET184-KR-PP-M,Casual Kurta,Formal Set,2
JNE3518-KR-S,JNE3506-KR-M,Cotton Kurta,Cotton Kurta,2
JNE3518-KR-XL,JNE3476-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3518-KR-XL,JNE3518-KR-M,Designer Kurta,Casual Kurta,2
JNE3518-KR-XL,JNE3518-KR-XXL,Designer Kurta,Designer Kurta,2
JNE3518-KR-XL,JNE3549-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3518-KR-XL,JNE3613-KR-XL,Designer Kurta,Designer Kurta,2
JNE3518-KR-XXL,JNE3518-KR-M,Designer Kurta,Casual Kurta,2
JNE3518-KR-XXL,JNE3518-KR-XL,Designer Kurta,Designer Kurta,2
JNE3522-KR-L,JNE3612-KR-L,Stylish Kurta,Stylish Kurta,2
JNE3522-KR-M,JNE3399-KR-M,Cotton Kurta,Stylish Kurta,2
JNE3522-KR-XL,JNE3776-KR-L,Designer Kurta,Stylish Kurta,2
JNE3530-KR-XS,J0299-KR-S,Stylish Kurta,Designer Kurta,2
JNE3543-KR-S,SET397-KR-NP  -M,Cotton Kurta,Elegant Set,2
JNE3543-KR-XXXL,J0139-KR-XXXL,Casual Kurta,Casual Kurta,2
JNE3546-KR-M,SET144-KR-NP-M,Stylish Kurta,Designer Set,2
JNE3546-KR-XL,JNE3439-KR-XL,Casual Kurta,Designer Kurta,2
JNE3546-KR-XXL,JNE3787-KR-XXXL,Stylish Kurta,Cotton Kurta,2
JNE3549-KR-XL,JNE3518-KR-XL,Cotton Kurta,Designer Kurta,2
JNE3549-KR-XL,JNE3613-KR-XL,Cotton Kurta,Designer Kurta,2
JNE3560-KR-L,JNE3697-KR-L,Stylish Kurta,Cotton Kurta,2
JNE3560-KR-XXXL,JNE3628-KR-XXXL,Casual Kurta,Cotton Kurta,2
JNE3564-KR-M,SET156-KR-NP-M,Designer Kurta,Elegant Set,2
JNE3566-KR-XL,JNE3722-KR-XL,Casual Kurta,Casual Kurta,2
JNE3567-KR-M,JNE3405-KR-S,Designer Kurta,Stylish Kurta,2
JNE3567-KR-M,JNE3423-KR-M,Designer Kurta,Stylish Kurta,2
JNE3567-KR-M,JNE3797-KR-S,Designer Kurta,Evening Dress,2
JNE3567-KR-M,JNE3805-KR-M,Designer Kurta,Casual Kurta,2
JNE3567-KR-M,SET324-KR-NP-M,Designer Kurta,Designer Set,2
JNE3567-KR-S,JNE3405-KR-S,Stylish Kurta,Stylish Kurta,2
JNE3567-KR-XS,JNE3440-KR-N-XS,Casual Kurta,Casual Kurta,2
JNE3567-KR-XXL,JNE3405-KR-XXL,Casual Kurta,Stylish Kurta,2
JNE3567-KR-XXL,JNE3568-KR-XXL,Casual Kurta,Stylish Kurta,2
JNE3568-KR-L,SET268-KR-NP-L,Casual Kurta,Elegant Set,2
JNE3568-KR-M,SET185-KR-NP-M,Casual Kurta,Formal Set,2
JNE3568-KR-XL,JNE3440-KR-N-XL,Designer Kurta,Designer Kurta,2
JNE3568-KR-XXL,JNE3567-KR-XXL,Stylish Kurta,Casual Kurta,2
JNE3579-KR-M,JNE3501-KR-M,Stylish Kurta,Cotton Kurta,2
JNE3601-KR-XL,JNE3487-KR-XL,Casual Kurta,Casual Kurta,2
JNE3611-KR-L,JNE3518-KR-L,Cotton Kurta,Designer Kurta,2
JNE3611-KR-XXL,JNE3461-KR-XXXL,Cotton Kurta,Cotton Kurta,2
JNE3611-KR-XXXL,JNE3294-KR-XXXL,Stylish Kurta,Designer Kurta,2
JNE3611-KR-XXXL,JNE3461-KR-XXXL,Stylish Kurta,Cotton Kurta,2
JNE3611-KR-XXXL,JNE3718-KR-XXXL,Stylish Kurta,Stylish Kurta,2
JNE3612-KR-L,JNE3522-KR-L,Stylish Kurta,Stylish Kurta,2
JNE3612-KR-L,JNE3612-KR-XL,Stylish Kurta,Casual Kurta,2
JNE3612-KR-XL,JNE3612-KR-L,Casual Kurta,Stylish Kurta,2
JNE3613-KR-M,JNE3618-KR-M,Casual Kurta,Cotton Kurta,2
JNE3613-KR-S,JNE3437-KR-S,Casual Kurta,Casual Kurta,2
JNE3613-KR-XL,JNE3368-KR-XL,Designer Kurta,Stylish Kurta,2
JNE3613-KR-XL,JNE3518-KR-XL,Designer Kurta,Designer Kurta,2
JNE3613-KR-XL,JNE3549-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3613-KR-XXL,JNE3465-KR-XXL,Cotton Kurta,Stylish Kurta,2
JNE3613-KR-XXL,JNE3468-KR-XXL,Cotton Kurta,Designer Kurta,2
JNE3613-KR-XXL,JNE3515-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3614-KR-L,JNE3764-KR-L,Stylish Kurta,Casual Kurta,2
JNE3614-KR-M,J0012-SKD-M,Stylish Kurta,Designer Set,2
JNE3614-KR-XS,JNE3634-KR-XS,Cotton Kurta,Stylish Kurta,2
JNE3614-KR-XS,JNE3721-KR-XS,Cotton Kurta,Stylish Kurta,2
JNE3616-KR-XXXL,JNE3480-KR-XXL,Stylish Kurta,Cotton Kurta,2
JNE3616-KR-XXXL,JNE3619-KR-XXL,Stylish Kurta,Stylish Kurta,2
JNE3616-KR-XXXL,JNE3721-KR-XXL,Stylish Kurta,Cotton Kurta,2
JNE3616-KR-XXXL,SET058-KR-NP-XXXL,Stylish Kurta,Elegant Set,2
JNE3617-KR-S,JNE3721-KR-S,Casual Kurta,Stylish Kurta,2
JNE3617-KR-XXL,JNE3257-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3617-KR-XXL,JNE3784-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3618-KR-M,JNE3613-KR-M,Cotton Kurta,Casual Kurta,2
JNE3618-KR-XS,J0230-SKD-XS,Casual Kurta,Elegant Set,2
JNE3619-KR-M,JNE3738-KR-M,Casual Kurta,Stylish Kurta,2
JNE3619-KR-XL,JNE3396-KR-XL,Designer Kurta,Designer Kurta,2
JNE3619-KR-XL,JNE3738-KR-XL,Designer Kurta,Designer Kurta,2
JNE3619-KR-XXL,JNE1977-KR-237-XXL,Stylish Kurta,Stylish Kurta,2
JNE3619-KR-XXL,JNE3482-KR-XXL,Stylish Kurta,Designer Kurta,2
JNE3619-KR-XXL,JNE3616-KR-XXXL,Stylish Kurta,Stylish Kurta,2
JNE3620-KR-M,JNE3468-KR-M,Stylish Kurta,Cotton Kurta,2
JNE3620-KR-M,JNE3510-KR-M,Stylish Kurta,Designer Kurta,2
JNE3620-KR-XXL,JNE3468-KR-XL,Designer Kurta,Stylish Kurta,2
JNE3627-KR-L,JNE3735-KR-L,Casual Kurta,Designer Kurta,2
JNE3627-KR-L,JNE3785-KR-L,Casual Kurta,Cotton Kurta,2
JNE3628-KR-XXXL,JNE3560-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3628-KR-XXXL,SET288-KR-NP-XXXL,Cotton Kurta,Designer Set,2
JNE3629-KR-XL,JNE3724-KR-XL,Stylish Kurta,Casual Kurta,2
JNE3633-KR-XL,JNE3396-KR-XL,Designer Kurta,Designer Kurta,2
JNE3634-KR-M,J0008-SKD-S,Designer Kurta,Elegant Set,2
JNE3634-KR-M,JNE3634-KR-S,Designer Kurta,Stylish Kurta,2
JNE3634-KR-S,J0008-SKD-S,Stylish Kurta,Elegant Set,2
JNE3634-KR-S,JNE3634-KR-M,Stylish Kurta,Designer Kurta,2
JNE3634-KR-XS,JNE3614-KR-XS,Stylish Kurta,Cotton Kurta,2
JNE3634-KR-XXL,JNE3822-KR-XXL,Stylish Kurta,Stylish Kurta,2
JNE3634-KR-XXXL,J0006-SET-XXXL,Cotton Kurta,Designer Ethnic Dress,2
JNE3634-KR-XXXL,JNE3376-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3634-KR-XXXL,JNE3425-KR-XXXL,Cotton Kurta,Cotton Kurta,2
JNE3634-KR-XXXL,JNE3431-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3634-KR-XXXL,JNE3463-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3634-KR-XXXL,JNE3636-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3634-KR-XXXL,JNE3878-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3635-KR-XL,JNE3396-KR-XL,Cotton Kurta,Designer Kurta,2
JNE3636-KR-M,JNE3510-KR-M,Stylish Kurta,Designer Kurta,2
JNE3636-KR-XXXL,JNE3634-KR-XXXL,Casual Kurta,Cotton Kurta,2
JNE3636-KR-XXXL,JNE3764-KR-XXXL,Casual Kurta,Casual Kurta,2
JNE3638-KR-XL,JNE3506-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3638-KR-XXL,JNE3697-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3638-KR-XXXL,SET328-KR-NP-XXXL,Cotton Kurta,Designer Set,2
JNE3638-KR-XXXL,SET374-KR-NP-XXXL,Cotton Kurta,Formal Set,2
JNE3639-TP-N-L,JNE3640-TP-N-L,Designer Top,Summer Top,2
JNE3640-TP-N-L,JNE3639-TP-N-L,Summer Top,Designer Top,2
JNE3640-TP-N-M,J0344-TP-M,Formal Top,Casual Top,2
JNE3640-TP-N-S,JNE3665-TP-S,Summer Top,Formal Top,2
JNE3640-TP-N-XS,JNE3662-TP-XS,Designer Top,Formal Top,2
JNE3645-TP-N-XS,J0348-SET-XS,Formal Top,Casual Set,2
JNE3648-TP-N-M,JNE3665-TP-M,Formal Top,Designer Top,2
JNE3648-TP-N-S,J0153-DR-XS,Casual Top,Summer Dress,2
JNE3648-TP-N-S,JNE3662-TP-S,Casual Top,Casual Top,2
JNE3651-TP-N-XL,JNE3659-TP-N-XL,Formal Top,Designer Top,2
JNE3655-TP-XXL,J0117-TP-XL,Designer Top,Casual Top,2
JNE3659-TP-N-L,J0201-TP-L,Designer Top,Designer Top,2
JNE3659-TP-N-XL,JNE3651-TP-N-XL,Designer Top,Formal Top,2
JNE3659-TP-N-XXL,J0301-TP-XXL,Designer Top,Summer Top,2
JNE3662-TP-S,J0153-DR-XS,Casual Top,Summer Dress,2
JNE3662-TP-S,JNE3648-TP-N-S,Casual Top,Casual Top,2
JNE3662-TP-XS,JNE3640-TP-N-XS,Formal Top,Designer Top,2
JNE3665-TP-M,JNE3648-TP-N-M,Designer Top,Formal Top,2
JNE3665-TP-S,JNE3640-TP-N-S,Formal Top,Summer Top,2
JNE3673-TU-L,JNE3691-TU-L,Casual Top,Formal Top,2
JNE3687-TU-XXL,J0308-DR-XXL,Casual Top,Casual Dress,2
JNE3691-TU-L,JNE3673-TU-L,Formal Top,Casual Top,2
JNE3697-KR-L,J0135-SET-L,Cotton Kurta,Formal Set,2
JNE3697-KR-L,JNE3560-KR-L,Cotton Kurta,Stylish Kurta,2
JNE3697-KR-S,SET324-KR-NP-S,Casual Kurta,Casual Set,2
JNE3697-KR-XL,JNE3443-KR-XL,Casual Kurta,Designer Kurta,2
JNE3697-KR-XL,SET281-KR-PP-XL,Casual Kurta,Designer Set,2
JNE3697-KR-XXL,JNE3638-KR-XXL,Cotton Kurta,Cotton Kurta,2
JNE3701-KR-XL,CH208-MUSTARD-L,Stylish Kurta,Leggings,2
JNE3702-KR-L,JNE3468-KR-L,Casual Kurta,Designer Kurta,2
JNE3703-KR-S,JNE3449-KR-S,Casual Kurta,Designer Kurta,2
JNE3703-KR-S,JNE3721-KR-S,Casual Kurta,Stylish Kurta,2
JNE3703-KR-XS,JNE3721-KR-XS,Casual Kurta,Stylish Kurta,2
JNE3703-KR-XXL,SET291-KR-PP-XXL,Designer Kurta,Elegant Set,2
JNE3703-KR-XXL,SET291-KR-PP-XXXL,Designer Kurta,Casual Set,2
JNE3706-DR-L,J0341-DR-L,Summer Dress,Casual Dress,2
JNE3706-DR-L,J0343-DR-M,Summer Dress,Casual Dress,2
JNE3706-DR-XXXL,JNE3707-DR-XXXL,Casual Dress,Casual Dress,2
JNE3707-DR-L,JNE3801-KR-M,Cocktail Dress,Cotton Kurta,2
JNE3707-DR-L,JNE3905-DR-L,Cocktail Dress,Summer Dress,2
JNE3707-DR-XXXL,JNE3706-DR-XXXL,Casual Dress,Casual Dress,2
JNE3710-DR-L,J0157-DR-L,Casual Dress,Cocktail Dress,2
JNE3710-DR-M,J0295-DR-M,Cocktail Dress,Summer Dress,2
JNE3710-DR-XXXL,J0396-DR-XXXL,Cocktail Dress,Summer Dress,2
JNE3712-TP-N-XL,J0301-TP-XL,Summer Top,Summer Top,2
JNE3712-TP-N-XL,JNE3860-DR-XL,Summer Top,Cocktail Dress,2
JNE3714-KR-L,JNE3721-KR-L,Cotton Kurta,Casual Kurta,2
JNE3714-KR-L,SET286-KR-NP-L,Cotton Kurta,Formal Set,2
JNE3714-KR-XL,JNE3738-KR-XL,Designer Kurta,Designer Kurta,2
JNE3716-KR-L,JNE3468-KR-L,Designer Kurta,Designer Kurta,2
JNE3716-KR-L,JNE3761-KR-L,Designer Kurta,Casual Kurta,2
JNE3716-KR-XXL,JNE3721-KR-XXL,Stylish Kurta,Cotton Kurta,2
JNE3716-KR-XXXL,JNE3742-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3716-KR-XXXL,JNE3764-KR-XXXL,Cotton Kurta,Casual Kurta,2
JNE3716-KR-XXXL,JNE3781-KR-XXXL,Cotton Kurta,Designer Kurta,2
JNE3716-KR-XXXL,JNE3784-KR-XXXL,Cotton Kurta,Cotton Kurta,2
JNE3718-KR-L,JNE3739-KR-L,Designer Kurta,Cotton Kurta,2
JNE3718-KR-M,JNE3510-KR-M,Casual Kurta,Designer Kurta,2
JNE3718-KR-XL,J0096-KR-XL,Designer Kurta,Cotton Kurta,2
JNE3718-KR-XXXL,JNE3611-KR-XXXL,Stylish Kurta,Stylish Kurta,2
JNE3721-KR-L,JNE3468-KR-L,Casual Kurta,Designer Kurta,2
JNE3721-KR-L,JNE3714-KR-L,Casual Kurta,Cotton Kurta,2
JNE3721-KR-S,JNE3617-KR-S,Stylish Kurta,Casual Kurta,2
JNE3721-KR-S,JNE3703-KR-S,Stylish Kurta,Casual Kurta,2
JNE3721-KR-XL,JNE3482-KR-XXL,Designer Kurta,Designer Kurta,2
JNE3721-KR-XL,JNE3739-KR-XL,Designer Kurta,Designer Kurta,2
JNE3721-KR-XS,JNE3614-KR-XS,Stylish Kurta,Cotton Kurta,2
JNE3721-KR-XS,JNE3703-KR-XS,Stylish Kurta,Casual Kurta,2
JNE3721-KR-XS,JNE3789-KR-XS,Stylish Kurta,Casual Kurta,2
JNE3721-KR-XXL,JNE3616-KR-XXXL,Cotton Kurta,Stylish Kurta,2
JNE3721-KR-XXL,JNE3716-KR-XXL,Cotton Kurta,Stylish Kurta,2
JNE3721-KR-XXL,PJNE3363-KR-N-5XL,Cotton Kurta,Stylish Kurta,2
JNE3722-KR-L,JNE3722-KR-M,Casual Kurta,Casual Kurta,2
JNE3722-KR-L,JNE3758-KR-L,Casual Kurta,Casual Kurta,2
JNE3722-KR-M,JNE3722-KR-L,Casual Kurta,Casual Kurta,2
JNE3722-KR-XL,JNE3566-KR-XL,Casual Kurta,Casual Kurta,2
JNE3722-KR-XL,JNE3838-KR-XXL,Casual Kurta,Designer Kurta,2
JNE3724-KR-XL,JNE3629-KR-XL,Casual Kurta,Stylish Kurta,2
JNE3735-KR-L,JNE3627-KR-L,Designer Kurta,Casual Kurta,2
JNE3736-KR-XXXL,JNE3748-KR-XXXL,Casual Kurta,Cotton Kurta,2
JNE3738-KR-L,JNE3768-KR-L,Stylish Kurta,Stylish Kurta,2
JNE3738-KR-L,JNE3781-KR-L,Stylish Kurta,Cotton Kurta,2
JNE3738-KR-M,JNE3619-KR-M,Stylish Kurta,Casual Kurta,2
JNE3738-KR-XL,JNE3619-KR-XL,Designer Kurta,Designer Kurta,2
JNE3738-KR-XL,JNE3714-KR-XL,Designer Kurta,Designer Kurta,2
JNE3739-KR-L,JNE1408-KR-UDF19-A-M,Cotton Kurta,Cotton Kurta,2
JNE3739-KR-L,JNE3160-KR-M,Cotton Kurta,Casual Kurta,2
JNE3739-KR-L,JNE3718-KR-L,Cotton Kurta,Designer Kurta,2
JNE3739-KR-L,SET268-KR-NP-L,Cotton Kurta,Elegant Set,2
JNE3739-KR-S,J0005-DR-S,Stylish Kurta,Casual Dress,2
