item1,item2,item1_name,item2_name,pair_count
JNE3440-KR-N-XL,JNE3697-KR-XL,Designer Kurta,Casual Kurta,4
JNE3797-KR-XXXL,JNE3801-KR-XXXL,Cocktail Dress,Casual Kurta,4
JNE3797-KR-A-M,JNE3800-KR-M,Cocktail Dress,Evening Dress,4
JNE3487-KR-XXL,JNE3482-KR-XXL,Stylish Kurta,Designer Kurta,4
SET331-KR-NP-M,SET324-KR-NP-M,Formal Set,Designer Set,4
SET331-KR-NP-M,SET345-KR-NP-M,Formal Set,Elegant Set,4
JNE3798-KR-L,JNE3801-KR-L,Cocktail Dress,Casual Kurta,4
JNE3568-KR-L,JNE3405-KR-L,Casual Kurta,Designer Kurta,4
JNE3801-KR-L,JNE3798-KR-L,Casual Kurta,Cocktail Dress,4
JNE3633-KR-XXXL,JNE3634-KR-XXXL,Stylish Kurta,Cotton Kurta,4
J0008-SKD-XXL,J0003-SET-XXL,Casual Set,Designer Set,4
JNE3797-KR-L,JNE3800-KR-L,Evening Dress,Evening Dress,4
SET375-KR-NP-M,SET409-KR-NP-M,Elegant Set,Formal Set,4
JNE3634-KR-XXXL,JNE3633-KR-XXXL,Cotton Kurta,Stylish Kurta,4
JNE3734-KR-XL,JNE3811-KR-XL,Designer Kurta,Cotton Kurta,4
JNE3634-KR-L,JNE3634-KR-M,Casual Kurta,Designer Kurta,4
PSET264-KR-NP-4XL,PSET268-KR-NP-4XL,Elegant Set,Designer Set,4
PSET268-KR-NP-4XL,PSET264-KR-NP-4XL,Designer Set,Elegant Set,4
JNE3634-KR-M,JNE3634-KR-L,Designer Kurta,Casual Kurta,4
JNE3801-KR-XXL,JNE3798-KR-XXL,Casual Kurta,Evening Dress,4
JNE3468-KR-XXXL,JNE3634-KR-XXXL,Designer Kurta,Cotton Kurta,4
JNE3697-KR-XL,JNE3440-KR-N-XL,Casual Kurta,Designer Kurta,4
JNE3798-KR-XXL,JNE3801-KR-XXL,Evening Dress,Casual Kurta,4
SET331-KR-NP-XXL,SET345-KR-NP-XXL,Designer Set,Elegant Set,4
JNE3800-KR-XXL,JNE3797-KR-XXL,Casual Dress,Summer Dress,4
J0118-TP-XXXL,J0119-TP-XXXL,Summer Top,Casual Top,4
JNE3797-KR-M,JNE3800-KR-M,Cocktail Dress,Evening Dress,4
MEN5009-KR-M,MEN5011-KR-M,Stylish Kurta,Stylish Kurta,4
JNE3405-KR-M,JNE3567-KR-M,Designer Kurta,Designer Kurta,3
J0007-SKD-XXL,J0009-SKD-XXL,Designer Set,Elegant Set,3
SET324-KR-NP-L,SET345-KR-NP-L,Designer Set,Casual Set,3
JNE3790-KR-XXXL,JNE3775-KR-XXXL,Cotton Kurta,Cotton Kurta,3
JNE3510-KR-M,JNE3399-KR-M,Designer Kurta,Stylish Kurta,3
MEN5014-KR-XXXL,MEN5004-KR-XXXL,Designer Kurta,Casual Kurta,3
MEN5015-KR-M,MEN5007-KR-M,Casual Kurta,Cotton Kurta,3
MEN5018-KR-XXL,MEN5024-KR-XXL,Stylish Kurta,Designer Kurta,3
J0344-TP-XXL,J0337-TP-XXL,Formal Top,Summer Top,3
JNE3617-KR-XXL,JNE3780-KR-XXL,Cotton Kurta,Casual Kurta,3
MEN5021-KR-L,MEN5024-KR-L,Designer Kurta,Cotton Kurta,3
SET324-KR-NP-XS,SET331-KR-NP-XS,Formal Set,Formal Set,3
JNE3405-KR-XL,JNE3568-KR-XL,Casual Kurta,Designer Kurta,3
JNE3718-KR-M,JNE3399-KR-M,Casual Kurta,Stylish Kurta,3
SET324-KR-NP-XXL,SET322-KR-SHA-XXL,Designer Set,Casual Set,3
J0003-SET-XXL,SET397-KR-NP-XXL,Designer Set,Casual Set,3
MEN5021-KR-XXL,MEN5025-KR-XXL,Stylish Kurta,Stylish Kurta,3
J0117-TP-M,J0119-TP-M,Casual Top,Designer Top,3
JNE3797-KR-A-L,JNE3800-KR-A-L,Evening Dress,Evening Dress,3
MEN5022-KR-S,MEN5032-KR-S,Cotton Kurta,Cotton Kurta,3
JNE3797-KR-L,JNE3797-KR-M,Evening Dress,Cocktail Dress,3
