sku,style,category,size,asin
JNE3718-KR-XXXL,JNE3718,kurta,3XL,B099NJ1WVX
SET347-KR-NP-S,SET347,Set,S,B09RKDJ9SQ
JNE3391-KR-XXL,JNE3391,kurta,XXL,B081WYHTF2
SET277-KR-NP-XXL,SET277,Set,XXL,B0983FZLXC
J0293-DR-S,J0293,Western Dress,S,B099NQ1SKZ
SET154-KR-NP-XL,SET154,Set,XL,B082PXMCZ4
JNE3439-KR-XL,JNE3439,kurta,XL,B081X4KQ14
SET291-KR-PP-XL,SET291,Set,XL,B099NJV9X7
SET293-KR-NP-M,SET293,Set,M,B09K3LJWBB
JNE3648-TP-N-M,JNE3648,Top,M,B08ZH9GDTY
JNE3334-KR-M,JNE3334,kurta,M,B07S8WG31H
SET331-KR-NP-XS,SET331,Set,XS,B09NQ54RRT
SET265-KR-NP-S,SET265,Set,S,B0983D6TGS
JNE3718-KR-S,JNE3718,kurta,S,B099FC7FSQ
SET397-KR-NP  -M,SET397,Set,M,B09RKD6KWL
JNE3861-DR-XXL,JNE3861,Western Dress,XXL,B09SDY9GXB
J0335-DR-XL,J0335,Western Dress,XL,B09831P2JC
J0335-DR-XXL,J0335,Western Dress,XXL,B0982ZS9FG
JNE1525-KR-UDF19-A-S,JNE1525,kurta,S,B0743FRDLK
JNE3654-TP-XL,JNE3654,Top,XL,B09873BFC1
JNE3261-KR-S,JNE3261,kurta,S,B07R41PW8D
SET324-KR-NP-S,SET324,Set,S,B09NQ4CZ65
SET332-KR-PP-S,SET332,Set,S,B09NQ33VW2
SET324-KR-NP-XXXL,SET324,Set,3XL,B09NQ51MPV
SET280-KR-PP-S,SET280,Set,S,B09CT26LGZ
JNE3618-KR-XXL,JNE3618,kurta,XXL,B091Q9J9QL
SET304-KR-DPT-XS,SET304,Set,XS,B09K3LRR2T
MEN5032-KR-XXXL,MEN5032,kurta,3XL,B08YZ2ZXT7
SET110-KR-PP-XXL,SET110,Set,XXL,B0822V61TT
SET324-KR-NP-M,SET324,Set,M,B09NQ4NM75
SET269-KR-NP-XXXL,SET269,Set,3XL,B0983FSRFS
JNE3794-KR-M,JNE3794,kurta,M,B09HMVWDN3
JNE3291-KR-XXL,JNE3291,kurta,XXL,B07R41RZV7
JNE3440-KR-N-XXXL,JNE3440,kurta,3XL,B09HMTKV2L
JNE2270-KR-487-A-XXL,JNE2270,kurta,XXL,B07H7DZXJ5
JNE3261-KR-M,JNE3261,kurta,M,B07R5X3499
SET110-KR-PP-M,SET110,Set,M,B0822TDMYH
J0300-TP-XXXL,J0300,Top,3XL,B099S7RDLZ
JNE3810-KR-S,JNE3810,kurta,S,B09RKBYVXN
JNE3461-KR-XL,JNE3461,kurta,XL,B08B3YPXKZ
JNE3429-KR-XL,JNE3429,kurta,XL,B0893DJ4TN
JNE3710-DR-S,JNE3710,Western Dress,S,B091SV9XW1
J0113-TP-XS,J0113,Top,XS,B08TZNX8NY
SET355-KR-PP-M,SET355,Set,M,B09RKDPHFP
J0009-SKD-S,J0009,Set,S,B0894X8979
J0248-KR-DPT-XL,J0248,Set,XL,B09RKFS78Y
JNE3560-KR-XL,JNE3560,kurta,XL,B08PCSJ2M6
JNE3373-KR-XXXL,JNE3373,kurta,3XL,B082W7MZVQ
SET398-KR-PP-L,SET398,Set,L,B09RP8WLNY
NW032-ST-CP-XXL,NW032,Set,XXL,B0922SFWK1
SET361-KR-NP-S,SET361,Set,S,B09QJ4J6KJ
